# interpolation 
# x linterp qspline cspline
0 0.840188 0.840188 0.840188
0.001 0.839742 0.839691 0.840186
0.002 0.839296 0.839195 0.840182
0.003 0.83885 0.838699 0.840176
0.004 0.838404 0.838203 0.840166
0.005 0.837959 0.837707 0.840154
0.006 0.837513 0.837212 0.84014
0.007 0.837067 0.836716 0.840122
0.008 0.836621 0.83622 0.840103
0.009 0.836175 0.835725 0.84008
0.01 0.83573 0.835229 0.840055
0.011 0.835284 0.834734 0.840027
0.012 0.834838 0.834239 0.839997
0.013 0.834392 0.833744 0.839964
0.014 0.833946 0.833249 0.839928
0.015 0.833501 0.832754 0.83989
0.016 0.833055 0.832259 0.839849
0.017 0.832609 0.831765 0.839806
0.018 0.832163 0.83127 0.83976
0.019 0.831717 0.830776 0.839711
0.02 0.831272 0.830281 0.83966
0.021 0.830826 0.829787 0.839606
0.022 0.83038 0.829293 0.83955
0.023 0.829934 0.828799 0.839491
0.024 0.829488 0.828305 0.83943
0.025 0.829043 0.827811 0.839366
0.026 0.828597 0.827317 0.839299
0.027 0.828151 0.826824 0.83923
0.028 0.827705 0.82633 0.839159
0.029 0.827259 0.825837 0.839085
0.03 0.826814 0.825343 0.839008
0.031 0.826368 0.82485 0.838929
0.032 0.825922 0.824357 0.838847
0.033 0.825476 0.823864 0.838763
0.034 0.82503 0.823371 0.838677
0.035 0.824585 0.822878 0.838588
0.036 0.824139 0.822385 0.838496
0.037 0.823693 0.821893 0.838402
0.038 0.823247 0.8214 0.838305
0.039 0.822801 0.820908 0.838206
0.04 0.822356 0.820415 0.838105
0.041 0.82191 0.819923 0.838001
0.042 0.821464 0.819431 0.837895
0.043 0.821018 0.818939 0.837786
0.044 0.820572 0.818447 0.837674
0.045 0.820127 0.817955 0.837561
0.046 0.819681 0.817463 0.837445
0.047 0.819235 0.816972 0.837326
0.048 0.818789 0.81648 0.837205
0.049 0.818343 0.815989 0.837081
0.05 0.817897 0.815497 0.836956
0.051 0.817452 0.815006 0.836827
0.052 0.817006 0.814515 0.836697
0.053 0.81656 0.814024 0.836564
0.054 0.816114 0.813533 0.836428
0.055 0.815668 0.813042 0.83629
0.056 0.815223 0.812552 0.83615
0.057 0.814777 0.812061 0.836008
0.058 0.814331 0.81157 0.835863
0.059 0.813885 0.81108 0.835715
0.06 0.813439 0.81059 0.835566
0.061 0.812994 0.8101 0.835414
0.062 0.812548 0.809609 0.835259
0.063 0.812102 0.809119 0.835102
0.064 0.811656 0.808629 0.834943
0.065 0.81121 0.80814 0.834782
0.066 0.810765 0.80765 0.834618
0.067 0.810319 0.80716 0.834452
0.068 0.809873 0.806671 0.834284
0.069 0.809427 0.806181 0.834113
0.07 0.808981 0.805692 0.83394
0.071 0.808536 0.805203 0.833765
0.072 0.80809 0.804714 0.833587
0.073 0.807644 0.804225 0.833407
0.074 0.807198 0.803736 0.833225
0.075 0.806752 0.803247 0.833041
0.076 0.806307 0.802758 0.832854
