# interpolation 
# x linterp integ
0 1 0 
0.001 0.999922 0.000999961 
0.002 0.999843 0.00199984 
0.003 0.999765 0.00299965 
0.004 0.999686 0.00399937 
0.005 0.999608 0.00499902 
0.006 0.99953 0.00599859 
0.007 0.999451 0.00699808 
0.008 0.999373 0.00799749 
0.009 0.999295 0.00899683 
0.01 0.999216 0.00999608 
0.011 0.999138 0.0109953 
0.012 0.999059 0.0119944 
0.013 0.998981 0.0129934 
0.014 0.998903 0.0139923 
0.015 0.998824 0.0149912 
0.016 0.998746 0.01599 
0.017 0.998668 0.0169887 
0.018 0.998589 0.0179873 
0.019 0.998511 0.0189859 
0.02 0.998432 0.0199843 
0.021 0.998354 0.0209827 
0.022 0.998276 0.021981 
0.023 0.998197 0.0229793 
0.024 0.998119 0.0239774 
0.025 0.998041 0.0249755 
0.026 0.997962 0.0259735 
0.027 0.997884 0.0269714 
0.028 0.997805 0.0279693 
0.029 0.997727 0.028967 
0.03 0.997649 0.0299647 
0.031 0.99757 0.0309623 
0.032 0.997492 0.0319599 
0.033 0.997414 0.0329573 
0.034 0.997335 0.0339547 
0.035 0.997257 0.034952 
0.036 0.997178 0.0359492 
0.037 0.9971 0.0369463 
0.038 0.997022 0.0379434 
0.039 0.996943 0.0389404 
0.04 0.996865 0.0399373 
0.041 0.996786 0.0409341 
0.042 0.996708 0.0419309 
0.043 0.99663 0.0429275 
0.044 0.996551 0.0439241 
0.045 0.996473 0.0449206 
0.046 0.996395 0.0459171 
0.047 0.996316 0.0469134 
0.048 0.996238 0.0479097 
0.049 0.996159 0.0489059 
0.05 0.996081 0.049902 
0.051 0.996003 0.0508981 
0.052 0.995924 0.051894 
0.053 0.995846 0.0528899 
0.054 0.995768 0.0538857 
0.055 0.995689 0.0548815 
0.056 0.995611 0.0558771 
0.057 0.995532 0.0568727 
0.058 0.995454 0.0578682 
0.059 0.995376 0.0588636 
0.06 0.995297 0.0598589 
0.061 0.995219 0.0608542 
0.062 0.995141 0.0618494 
0.063 0.995062 0.0628445 
0.064 0.994984 0.0638395 
0.065 0.994905 0.0648344 
0.066 0.994827 0.0658293 
0.067 0.994749 0.0668241 
0.068 0.99467 0.0678188 
0.069 0.994592 0.0688134 
0.07 0.994514 0.069808 
0.071 0.994435 0.0708024 
0.072 0.994357 0.0717968 
0.073 0.994278 0.0727912 
0.074 0.9942 0.0737854 
