# interpolation 
# x qspline integ deriv
0 1 0 -0.237711
0.001 0.999763 0.000999881 -0.235682
0.002 0.999529 0.00199952 -0.233653
0.003 0.999296 0.00299893 -0.231625
0.004 0.999065 0.0039981 -0.229596
0.005 0.998837 0.00499703 -0.227567
0.006 0.99861 0.00599572 -0.225539
0.007 0.998386 0.00699418 -0.22351
0.008 0.998163 0.00799239 -0.221481
0.009 0.997943 0.00899037 -0.219453
0.01 0.997724 0.00998811 -0.217424
0.011 0.997508 0.0109856 -0.215395
0.012 0.997294 0.0119829 -0.213367
0.013 0.997081 0.0129799 -0.211338
0.014 0.996871 0.0139767 -0.209309
0.015 0.996663 0.0149733 -0.207281
0.016 0.996456 0.0159696 -0.205252
0.017 0.996252 0.0169657 -0.203223
0.018 0.99605 0.0179615 -0.201194
0.019 0.99585 0.0189571 -0.199166
0.02 0.995652 0.0199525 -0.197137
0.021 0.995455 0.0209476 -0.195108
0.022 0.995261 0.0219425 -0.19308
0.023 0.995069 0.0229371 -0.191051
0.024 0.994879 0.0239315 -0.189022
0.025 0.994691 0.0249257 -0.186994
0.026 0.994505 0.0259197 -0.184965
0.027 0.994321 0.0269134 -0.182936
0.028 0.994139 0.0279068 -0.180908
0.029 0.993959 0.0289 -0.178879
0.03 0.993782 0.029893 -0.17685
0.031 0.993606 0.0308858 -0.174822
0.032 0.993432 0.0318783 -0.172793
0.033 0.99326 0.0328706 -0.170764
0.034 0.99309 0.0338626 -0.168736
0.035 0.992923 0.0348544 -0.166707
0.036 0.992757 0.035846 -0.164678
0.037 0.992593 0.0368373 -0.16265
0.038 0.992432 0.0378284 -0.160621
0.039 0.992272 0.0388192 -0.158592
0.04 0.992115 0.0398098 -0.156563
0.041 0.991959 0.0408002 -0.154535
0.042 0.991805 0.0417903 -0.152506
0.043 0.991654 0.0427802 -0.150477
0.044 0.991504 0.0437699 -0.148449
0.045 0.991357 0.0447593 -0.14642
0.046 0.991212 0.0457485 -0.144391
0.047 0.991068 0.0467374 -0.142363
0.048 0.990927 0.0477262 -0.140334
0.049 0.990788 0.0487146 -0.138305
0.05 0.99065 0.0497029 -0.136277
0.051 0.990515 0.0506909 -0.134248
0.052 0.990382 0.0516786 -0.132219
0.053 0.990251 0.0526661 -0.130191
0.054 0.990121 0.0536534 -0.128162
0.055 0.989994 0.0546405 -0.126133
0.056 0.989869 0.0556273 -0.124105
0.057 0.989746 0.0566138 -0.122076
0.058 0.989625 0.0576002 -0.120047
0.059 0.989506 0.0585863 -0.118019
0.06 0.989389 0.0595721 -0.11599
0.061 0.989274 0.0605577 -0.113961
0.062 0.989161 0.0615431 -0.111932
0.063 0.98905 0.0625283 -0.109904
0.064 0.988941 0.0635132 -0.107875
0.065 0.988834 0.0644978 -0.105846
0.066 0.98873 0.0654823 -0.103818
0.067 0.988627 0.0664665 -0.101789
0.068 0.988526 0.0674504 -0.0997604
0.069 0.988427 0.0684341 -0.0977317
0.07 0.988331 0.0694176 -0.095703
0.071 0.988236 0.0704009 -0.0936743
0.072 0.988143 0.0713839 -0.0916457
0.073 0.988053 0.0723666 -0.089617
0.074 0.987964 0.0733491 -0.0875883
0.075 0.987877 0.0743314 -0.0855596
0.076 0.987793 0.0753135 -0.0835309
0.077 0.98771 0.0762953 -0.0815023
0.078 0.98763 0.0772769 -0.0794736
0.079 0.987551 0.0782582 -0.0774449
0.08 0.987475 0.0792393 -0.0754162
0.081 0.987401 0.0802202 -0.0733875
0.082 0.987328 0.0812008 -0.0713588
0.083 0.987258 0.0821812 -0.0693302
0.084 0.987189 0.0831614 -0.0673015
0.085 0.987123 0.0841413 -0.0652728
0.086 0.987059 0.0851209 -0.0632441
0.087 0.986997 0.0861004 -0.0612154
0.088 0.986937 0.0870796 -0.0591868
0.089 0.986878 0.0880585 -0.0571581
0.09 0.986822 0.0890373 -0.0551294
0.091 0.986768 0.0900158 -0.0531007
0.092 0.986716 0.090994 -0.051072
0.093 0.986666 0.091972 -0.0490433
0.094 0.986618 0.0929498 -0.0470147
0.095 0.986572 0.0939273 -0.044986
0.096 0.986528 0.0949046 -0.0429573
0.097 0.986486 0.0958817 -0.0409286
0.098 0.986446 0.0968585 -0.0388999
0.099 0.986408 0.0978351 -0.0368713
0.1 0.986372 0.0988114 -0.0348426
0.101 0.986339 0.0997876 -0.0328139
0.102 0.986307 0.100763 -0.0307852
0.103 0.986277 0.101739 -0.0287565
0.104 0.986249 0.102714 -0.0267278
0.105 0.986223 0.10369 -0.0246992
0.106 0.9862 0.104665 -0.0226705
0.107 0.986178 0.105639 -0.0206418
0.108 0.986159 0.106614 -0.0186131
0.109 0.986141 0.107588 -0.0165844
0.11 0.986125 0.108562 -0.0145558
0.111 0.986112 0.109536 -0.0125271
0.112 0.9861 0.110509 -0.0104984
0.113 0.986091 0.111482 -0.00846971
0.114 0.986083 0.112455 -0.00644103
0.115 0.986078 0.113428 -0.00441235
0.116 0.986075 0.114401 -0.00238367
0.117 0.986073 0.115373 -0.000354988
0.118 0.986074 0.116345 0.00167369
0.119 0.986077 0.117317 0.00370238
0.12 0.986081 0.118288 0.00573106
0.121 0.986088 0.11926 0.00775974
0.122 0.986097 0.120231 0.00978842
0.123 0.986108 0.121202 0.0118171
0.124 0.98612 0.122172 0.0138458
0.125 0.986135 0.123143 0.0158745
0.126 0.986152 0.124113 0.0179031
0.127 0.986171 0.125083 0.0199318
0.128 0.986192 0.126053 0.0219605
0.129 0.986215 0.127022 0.0239892
0.13 0.98624 0.127991 0.0260179
0.131 0.986267 0.12896 0.0280466
0.132 0.986296 0.129929 0.0300752
0.133 0.986327 0.130898 0.0321039
0.134 0.98636 0.131866 0.0341326
0.135 0.986395 0.132834 0.0361613
0.136 0.986433 0.133802 0.03819
0.137 0.986472 0.134769 0.0402186
0.138 0.986513 0.135737 0.0422473
0.139 0.986556 0.136704 0.044276
0.14 0.986602 0.13767 0.0463047
0.141 0.986649 0.138637 0.0483334
0.142 0.986698 0.139603 0.0503621
0.143 0.98675 0.14057 0.0523907
0.144 0.986803 0.141535 0.0544194
0.145 0.986858 0.142501 0.0564481
0.146 0.986916 0.143466 0.0584768
0.147 0.986975 0.144432 0.0605055
0.148 0.987037 0.145397 0.0625341
0.149 0.9871 0.146361 0.0645628
0.15 0.987166 0.147326 0.0665915
0.151 0.987234 0.14829 0.0686202
0.152 0.987303 0.149254 0.0706489
0.153 0.987375 0.150218 0.0726776
