# interpolation 
# x qspline integ deriv
0 1 0 0
0.001 0.999999 0.001 -0.00297478
0.002 0.999994 0.002 -0.00591144
0.003 0.999987 0.003 -0.00880998
0.004 0.999976 0.004 -0.0116704
0.005 0.999963 0.005 -0.0144927
0.006 0.999947 0.006 -0.0172769
0.007 0.999929 0.007 -0.0200229
0.008 0.999907 0.008 -0.0227309
0.009 0.999883 0.009 -0.0254007
0.01 0.999857 0.01 -0.0280324
0.011 0.999827 0.011 -0.030626
0.012 0.999795 0.012 -0.0331815
0.013 0.999761 0.013 -0.0356988
0.014 0.999724 0.014 -0.0381781
0.015 0.999685 0.015 -0.0406192
0.016 0.999643 0.016 -0.0430222
0.017 0.999599 0.017 -0.0453871
0.018 0.999552 0.018 -0.0477138
0.019 0.999503 0.019 -0.0500025
0.02 0.999452 0.02 -0.052253
0.021 0.999399 0.021 -0.0544654
0.022 0.999343 0.022 -0.0566397
0.023 0.999285 0.023 -0.0587758
0.024 0.999226 0.024 -0.0608739
0.025 0.999164 0.025 -0.0629338
0.026 0.9991 0.026 -0.0649556
0.027 0.999034 0.027 -0.0669393
0.028 0.998966 0.028 -0.0688849
0.029 0.998896 0.029 -0.0707923
0.03 0.998824 0.03 -0.0726617
0.031 0.998751 0.031 -0.0744929
0.032 0.998675 0.032 -0.076286
0.033 0.998598 0.033 -0.078041
0.034 0.998519 0.034 -0.0797578
0.035 0.998439 0.035 -0.0814366
0.036 0.998356 0.036 -0.0830772
0.037 0.998273 0.037 -0.0846797
0.038 0.998187 0.038 -0.0862441
0.039 0.9981 0.039 -0.0877703
0.04 0.998012 0.04 -0.0892585
0.041 0.997922 0.041 -0.0907085
0.042 0.99783 0.042 -0.0921204
0.043 0.997737 0.043 -0.0934942
0.044 0.997643 0.044 -0.0948299
0.045 0.997548 0.045 -0.0961275
0.046 0.997451 0.046 -0.0973869
0.047 0.997353 0.047 -0.0986082
0.048 0.997254 0.048 -0.0997914
0.049 0.997153 0.049 -0.100936
0.05 0.997052 0.05 -0.102043
0.051 0.996949 0.051 -0.103112
0.052 0.996846 0.052 -0.104143
0.053 0.996741 0.053 -0.105136
0.054 0.996635 0.054 -0.10609
0.055 0.996529 0.055 -0.107006
0.056 0.996421 0.056 -0.107885
0.057 0.996313 0.057 -0.108725
0.058 0.996204 0.058 -0.109527
0.059 0.996094 0.059 -0.110291
0.06 0.995983 0.06 -0.111017
0.061 0.995872 0.061 -0.111704
0.062 0.99576 0.062 -0.112354
0.063 0.995647 0.063 -0.112965
0.064 0.995534 0.064 -0.113538
0.065 0.99542 0.065 -0.114074
0.066 0.995306 0.066 -0.114571
0.067 0.995191 0.067 -0.11503
0.068 0.995076 0.068 -0.11545
0.069 0.99496 0.069 -0.115833
0.07 0.994844 0.07 -0.116178
0.071 0.994728 0.071 -0.116484
0.072 0.994611 0.072 -0.116753
0.073 0.994494 0.073 -0.116983
0.074 0.994377 0.074 -0.117175
0.075 0.99426 0.075 -0.117329
0.076 0.994143 0.076 -0.117445
0.077 0.994025 0.077 -0.117522
0.078 0.993908 0.078 -0.117562
0.079 0.99379 0.079 -0.117564
0.08 0.993673 0.08 -0.117527
0.081 0.993555 0.081 -0.117452
0.082 0.993438 0.082 -0.117339
0.083 0.99332 0.083 -0.117189
0.084 0.993203 0.084 -0.116999
0.085 0.993086 0.085 -0.116772
0.086 0.99297 0.086 -0.116507
